Country,InternetUse,Latitude,Longitude
Afghanistan,6.39,33.93911,67.709953
Albania,60.1,41.153332,20.168331
Algeria,18.09,28.033886,1.659626
Andorra,95.9,42.546245,1.601554
Angola,21.26,-11.202692,17.873887
Antigua and Barbuda,64,17.060816,-61.796428
Argentina,64.7,-38.416097,-63.616672
Armenia,46.3,40.069099,45.038189
Aruba,83.78,12.52111,-69.968338
Australia,84.56,-25.274398,133.775136
Austria,81,47.516231,14.550072
Azerbaijan,61,40.143105,47.576927
"Bahamas, The",76.92,25.03428,-77.39628
Bahrain,90.99998,25.930414,50.637772
Bangladesh,9.6,23.684994,90.356331
Barbados,76.67,13.193887,-59.543198
Belarus,59.02,53.709807,27.953389
Belgium,85,50.503887,4.469936
Belize,38.7,17.189877,-88.49765
Benin,5.3,9.30769,2.315834
Bermuda,96.8,32.321384,-64.75737
Bhutan,34.37,27.514162,90.433601
Bolivia,39.02,-16.290154,-63.588653
Bosnia and Herzegovina,60.8,43.915886,17.679076
Botswana,18.5,-22.328474,24.684866
Brazil,57.6,-14.235004,-51.92528
Brunei Darussalam,68.77,4.535277,114.727669
Bulgaria,55.49,42.733883,25.48583
Burkina Faso,9.4,12.238333,-1.561593
Burundi,1.38,-3.373056,29.918886
Cambodia,9,12.565679,104.990963
Cameroon,11,7.369722,12.354722
Canada,87.12,56.130366,-106.346771
Cape Verde,40.26,16.002082,-24.013197
Cayman Islands,74.1,19.513469,-80.566956
Central African Republic,4.03,6.611111,20.939444
Chad,2.5,15.454166,18.732207
Chile,72.35,-35.675147,-71.542969
China,49.3,35.86166,104.195397
Colombia,52.57,4.570868,-74.297333
Comoros,6.98,-11.875001,43.872219
"Congo, Dem. Rep.",3,-4.038333,21.758664
"Congo, Rep.",7.11,-0.228021,15.827659
Costa Rica,49.41,9.748917,-83.753428
Cote d'Ivoire,14.6,7.539989,-5.54708
Croatia,68.57,45.1,15.2
Cuba,30,21.521757,-77.781167
Cyprus,69.33,35.126413,33.429859
Czech Republic,79.71,49.817492,15.472962
Denmark,95.99,56.26392,9.501785
Djibouti,10.71,11.825138,42.590275
Dominica,62.86,15.414999,-61.370976
Dominican Republic,49.58,18.735693,-70.162651
Ecuador,43,-1.831239,-78.183406
"Egypt, Arab Rep.",31.7,26.820553,30.802498
El Salvador,29.7,13.794185,-88.89653
Equatorial Guinea,18.86,1.650801,10.267895
Eritrea,0.99,15.179384,39.782334
Estonia,84.24,58.595272,25.013607
Ethiopia,2.9,9.145,40.489673
Faeroe Islands,94.66,61.892635,-6.911806
Fiji,41.8,-16.578193,179.414413
Finland,92.38,61.92411,25.748151
France,83.75,46.227638,2.213749
French Polynesia,60.68,3.933889,-53.125782
Gabon,9.81,-0.803689,11.609444
"Gambia, The",15.56,13.443182,-15.310139
Georgia,48.9,42.315407,43.356892
Germany,86.19,51.165691,10.451526
Ghana,18.9,7.946527,-1.023194
Greece,63.21,39.074208,21.824312
Greenland,66.7,71.706936,-42.604303
Grenada,37.38,12.262776,-61.604171
Guam,69.27,13.444304,144.793731
Guatemala,23.4,15.783471,-90.230759
Guinea,1.72,9.945587,-9.696645
